Thu Mar 18 18:26:01 2021    output.dat

         188712296 function calls (185104778 primitive calls) in 194.084 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
41252/23366    0.594    0.000  105.820    0.005 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/policies/tf_policy.py:271(action)
955893/955497    0.592    0.000    2.526    0.000 {built-in method builtins.any}
  1680914    0.576    0.000    2.310    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:198(_yield_value)
5632394/5568036    0.559    0.000    0.582    0.000 {built-in method builtins.len}
803392/803094    0.557    0.000    1.217    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/training/tracking/data_structures.py:82(wrap_or_unwrap)
   464885    0.551    0.000    0.959    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/inspect.py:2489(__init__)
    70080    0.543    0.000    1.262    0.000 /Users/marvin/FML2020/fml-project/environment.py:237(time_to_stop)
940757/940565    0.525    0.000    8.249    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/profiler/trace.py:158(wrapped)
    22265    0.514    0.000   52.701    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/policies/q_policy.py:139(_distribution)
    89084    0.514    0.000    9.773    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/layers/ops/core.py:30(dense)
   230443    0.511    0.000    3.507    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:244(identity)
   133626    0.500    0.000    4.291    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:3319(bias_add)
803152/713636    0.499    0.000    3.330    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/training/tracking/data_structures.py:105(sticky_attribute_assignment)
   111315    0.485    0.000   10.827    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/prefer_static.py:63(wrap)
   509300    0.480    0.000    1.339    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6654(__exit__)
    68157    0.480    0.000    2.685    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/math_ops.py:907(cast)
44542/22271    0.476    0.000   47.021    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/networks/network.py:339(__call__)
    23922    0.475    0.000   44.006    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/function.py:519(call)
    22271    0.468    0.000   31.124    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/networks/encoding_network.py:298(call)
   445101    0.467    0.000    1.282    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6402(name_scope)
    24607    0.460    0.000    0.496    0.000 /Users/marvin/FML2020/fml-project/adapter/bomberman_adapter.py:114(get_observation_from_state)
   786655    0.458    0.000    0.458    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:71(_is_ref_dtype)
    44534    0.442    0.000    5.746    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:480(__init__)
   236810    0.432    0.000    0.850    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:172(is_compatible_with)
   363994    0.422    0.000    2.819    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:65(assert_same_structure)
386233/386231    0.419    0.000    3.352    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:268(_constant_impl)
296438/274161    0.409    0.000   39.716    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:659(<listcomp>)
   223454    0.402    0.000    0.942    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2913(_flatten_layers)
        1    0.402    0.402  189.618  189.618 /Users/marvin/FML2020/fml-project/deep_bomber/dqn_training_profiler.py:60(train_agent)
