Thu Mar 18 18:26:01 2021    output.dat

         188712296 function calls (185104778 primitive calls) in 194.084 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22263    0.084    0.000    0.384    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:376(_cast)
46720/23360    0.084    0.000   12.253    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/environments/py_environment.py:173(step)
   461505    0.084    0.000    0.084    0.000 {built-in method builtins.issubclass}
    51300    0.083    0.000    0.152    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/util/seed_stream.py:171(__init__)
    45796    0.083    0.000    0.083    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/weakref.py:422(__contains__)
    28950    0.083    0.000    0.083    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    44534    0.082    0.000    0.396    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/name_util.py:36(strip_invalid_chars)
    89052    0.082    0.000    0.352    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/tensorshape_util.py:218(is_fully_defined)
    89072    0.082    0.000    0.175    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:144(_remove_dict_keys_with_value)
    89072    0.082    0.000    0.082    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:146(<dictcomp>)
    82540    0.082    0.000    0.270    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:284(merge_with)
    33630    0.082    0.000    0.531    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/math_ops.py:1458(_add_dispatch)
    44694    0.082    0.000    0.284    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/training/tracking/data_structures.py:154(__init__)
    20116    0.081    0.000    0.308    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:132(max)
    44547    0.081    0.000    0.638    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_array_ops.py:8288(reshape)
   333897    0.081    0.000    0.144    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/_utils.py:70(numpy_dtype)
    80554    0.080    0.000    0.080    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/variables.py:151(validate_synchronization_aggregation_trainable)
    22263    0.080    0.000    0.083    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/numpy_math.py:168(_astuple)
    22259    0.080    0.000    0.809    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:544(_convert_tensorshape_to_tensor)
    23989    0.079    0.000    0.267    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/function.py:3090(_cache_key)
    66604    0.079    0.000    0.079    0.000 /Users/marvin/FML2020/fml-project/environment.py:245(<listcomp>)
    70325    0.079    0.000    0.678    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_resource_variable_ops.py:1088(resource_scatter_update)
    22259    0.079    0.000    0.250    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:210(_is_int64)
   230371    0.079    0.000    0.079    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1225(graph)
   156233    0.079    0.000    0.125    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/_collections_abc.py:886(__reversed__)
23904/23900    0.079    0.000   49.023    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:846(_call)
    21026    0.079    0.000    0.493    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:652(shape_internal)
    22271    0.078    0.000    0.720    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/layers/core.py:661(call)
   356196    0.078    0.000    0.078    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/prefer_static.py:72(<genexpr>)
    41252    0.078    0.000    3.252    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/common.py:531(clip_to_spec)
    89036    0.077    0.000    0.077    0.000 {method 'copy' of 'numpy.ndarray' objects}
    23360    0.076    0.000    6.493    0.000 /Users/marvin/FML2020/fml-project/adapter/bomberman_adapter.py:56(make_action)
   634858    0.076    0.000    0.076    0.000 {built-in method builtins.callable}
    23360    0.076    0.000   12.213    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/environments/batched_py_environment.py:151(_step)
   244853    0.076    0.000    0.097    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:650(__instancecheck__)
    22265    0.075    0.000    2.542    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:1393(mode)
    20092    0.075    0.000    3.747    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/replay_buffers/table.py:108(write)
34798/1294    0.074    0.000    0.208    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/ast_util.py:37(copy)
    49214    0.074    0.000    0.334    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2105(sum)
   200457    0.074    0.000    0.131    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer_utils.py:411(call_context)
    44526    0.071    0.000    5.748    0.000 <decorator-gen-30>:1(concat)
     8952    0.071    0.000    0.271    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/math_ops.py:1259(_truediv_python3)
   105028    0.071    0.000    0.712    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1213(set_shape)
   491781    0.071    0.000    0.071    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:175(__exit__)
    32317    0.070    0.000    0.639    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:773(<listcomp>)
   491781    0.070    0.000    0.070    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:169(__init__)
    89052    0.070    0.000    2.099    0.000 <decorator-gen-10>:1(shape_v2)
    23360    0.070    0.000    0.070    0.000 /Users/marvin/FML2020/fml-project/adapter/bomberman_adapter.py:80(reward_from_events)
    23906    0.070    0.000   42.967    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/execute.py:33(quick_execute)
    22263    0.069    0.000   20.723    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:987(sample)
    94244    0.069    0.000    0.904    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:811(<lambda>)
    10070    0.069    0.000    0.253    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:108(min)
    89044    0.068    0.000    0.258    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/tensorshape_util.py:49(as_list)
    50197    0.068    0.000    0.747    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:5887(minimum)
    22263    0.068    0.000    0.525    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/deterministic.py:300(_batch_shape)
    89084    0.068    0.000    0.160    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/tensor_util.py:126(is_ref)
2107/2040    0.068    0.000    0.446    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:525(_create_op_internal)
    50206    0.067    0.000    0.562    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:1807(cast)
   744945    0.067    0.000    0.067    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/inspect.py:2543(default)
    23360    0.067    0.000    0.117    0.000 /Users/marvin/FML2020/fml-project/environment.py:92(perform_agent_action)
   191753    0.066    0.000    0.124    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/anno.py:134(hasanno)
    20996    0.066    0.000    0.547    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:429(<listcomp>)
    20094    0.066    0.000    3.333    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/specs/tensor_spec.py:282(sample_spec_nest)
    22263    0.066    0.000    2.535    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:1568(_expand_sample_shape_to_vector)
112713/708    0.066    0.000    1.293    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/ast.py:367(visit)
   482328    0.065    0.000    0.065    0.000 {method 'isidentifier' of 'str' objects}
    22265    0.065    0.000    8.188    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/policies/greedy_policy.py:71(dist_fn)
    10048    0.064    0.000    2.896    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/specs/tensor_spec.py:301(sample_fn)
    44534    0.064    0.000    0.064    0.000 {built-in method builtins.locals}
    77845    0.064    0.000    0.567    0.000 {method 'sum' of 'numpy.ndarray' objects}
    44530    0.064    0.000    0.455    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/categorical.py:383(_parameter_control_dependencies)
   123812    0.064    0.000    0.464    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1035(_numpy)
   319063    0.064    0.000    0.084    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/ast.py:210(iter_fields)
    11258    0.063    0.000    0.101    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/logging/__init__.py:1368(_clear_cache)
    23762    0.063    0.000    1.278    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/script_ops.py:576(<listcomp>)
    23889    0.063    0.000    0.227    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:103(called_without_tracing)
    11247    0.063    0.000    0.187    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/tape.py:108(variable_accessed)
    47972    0.062    0.000    0.351    0.000 /Users/marvin/FML2020/fml-project/agents.py:243(get_with_time)
    94244    0.061    0.000    0.835    0.000 <__array_function__ internals>:2(expand_dims)
   292946    0.061    0.000    0.061    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_spec.py:63(shape)
    94268    0.061    0.000    0.061    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   244853    0.061    0.000    0.254    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:485(<lambda>)
   210809    0.061    0.000    0.073    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:1169(<genexpr>)
    41253    0.061    0.000    0.466    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:5659(maximum)
   240569    0.061    0.000    0.061    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:508(dtype)
    44518    0.060    0.000    1.054    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:214(_default_convert_to_tensor)
    89054    0.060    0.000    0.615    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/tensorshape_util.py:289(set_shape)
    89048    0.060    0.000    0.842    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:537(broadcast_static_shape)
    47808    0.059    0.000    0.059    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:787(experimental_get_tracing_count)
   151456    0.058    0.000    0.058    0.000 {method 'acquire' of '_thread.lock' objects}
    22263    0.058    0.000    0.594    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/distribution.py:926(event_shape)
    46793    0.058    0.000    0.145    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/tf_inspect.py:390(ismethod)
   491781    0.058    0.000    0.058    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:172(__enter__)
    41252    0.058    0.000    0.288    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/policies/tf_policy.py:348(compare_to_spec)
    63178    0.058    0.000    0.230    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:1502(_should_not_autopack)
    83028    0.057    0.000    0.112    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/copy.py:66(copy)
   178168    0.057    0.000    0.068    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2535(<genexpr>)
    20460    0.057    0.000    0.121    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:1759(__enter__)
    22269    0.056    0.000    5.252    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/distributions/deterministic.py:235(__init__)
    23956    0.056    0.000    0.100    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2002(captured_inputs)
    40920    0.056    0.000    0.056    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:847(_set_device)
   200569    0.056    0.000    0.056    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:1299(input_spec)
   184627    0.056    0.000    0.141    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/tf_decorator.py:114(_has_tf_decorator_attr)
    22263    0.056    0.000    0.609    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_array_ops.py:777(broadcast_to)
    22271    0.055    0.000    0.233    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/networks/utils.py:89(flatten)
   147511    0.055    0.000    0.055    0.000 {method 'startswith' of 'str' objects}
    41252    0.054    0.000    3.310    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/policies/tf_policy.py:326(clip_action)
    12055    0.054    0.000    0.054    0.000 {built-in method numpy.arange}
   183083    0.054    0.000    0.066    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/inspect.py:158(isfunction)
   120552    0.053    0.000    0.090    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/logging/__init__.py:1420(debug)
    22364    0.053    0.000    0.355    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2881(prod)
    44822    0.053    0.000    0.295    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/re.py:203(sub)
    22263    0.053    0.000   20.904    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/policies/tf_policy.py:562(<lambda>)
    24607    0.053    0.000    0.833    0.000 /Users/marvin/FML2020/fml-project/adapter/bomberman_adapter.py:77(get_observation)
    44534    0.053    0.000    0.121    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/dtype_util.py:153(is_floating)
    10046    0.053    0.000    3.206    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/replay_buffers/tf_uniform_replay_buffer.py:529(_increment_last_id)
    23360    0.052    0.000    0.052    0.000 /Users/marvin/FML2020/fml-project/environment.py:135(collect_coins)
1217/1136    0.052    0.000    0.611    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:320(_apply_op_helper)
    95936    0.052    0.000    0.052    0.000 /Users/marvin/FML2020/fml-project/agents.py:112(get_state)
    22263    0.052    0.000    0.501    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/ops.py:386(<lambda>)
    17886    0.051    0.000    8.618    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/metrics/tf_metric.py:83(__call__)
    22263    0.051    0.000   20.833    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/distributions/reparameterized_sampling.py:29(sample)
    97200    0.050    0.000    0.080    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/threading.py:246(__enter__)
   378124    0.050    0.000    0.050    0.000 {method 'items' of 'dict' objects}
   243504    0.050    0.000    0.050    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_spec.py:68(dtype)
    22263    0.050    0.000    0.107    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/numpy/core/numerictypes.py:360(issubdtype)
    22263    0.049    0.000    0.225    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/tensorshape_util.py:116(concatenate)
    89044    0.049    0.000    0.372    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/prefer_static.py:96(_numpy_dtype)
    44542    0.049    0.000    5.543    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:1003(convolution_v2)
   133626    0.048    0.000    0.048    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:3306(_tf_deterministic_ops)
    89052    0.048    0.000    2.029    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/prefer_static.py:89(wrap)
    22263    0.048    0.000    0.495    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:1085(map_structure_up_to)
    71624    0.048    0.000    0.048    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
    33630    0.046    0.000    0.357    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:450(add_v2)
    89084    0.046    0.000    0.067    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:299(<listcomp>)
    23894    0.046    0.000    0.128    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:97(_get_counter)
   133626    0.046    0.000    0.140    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:311(<genexpr>)
    63106    0.046    0.000    1.280    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:1351(stack)
    44518    0.046    0.000    0.198    0.000 <__array_function__ internals>:2(concatenate)
   464871    0.046    0.000    0.046    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/inspect.py:2551(kind)
    20352    0.045    0.000    0.130    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_spec.py:39(__init__)
    44534    0.045    0.000    0.211    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/dtype_util.py:68(base_dtype)
    22265    0.045    0.000    5.170    0.000 <decorator-gen-156>:1(__init__)
     2187    0.045    0.000    0.045    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
    10060    0.045    0.000    0.906    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_spec.py:264(from_spec)
    82534    0.045    0.000    0.315    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:949(<listcomp>)
    22271    0.045    0.000    0.211    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/networks/utils.py:119(unflatten)
    23930    0.044    0.000    0.044    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:1085(function_call_options)
    44541    0.043    0.000    0.154    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/module/module.py:320(valid_identifier)
    23360    0.043    0.000    0.043    0.000 /Users/marvin/FML2020/fml-project/agents.py:133(store_game_state)
    22288    0.043    0.000    0.490    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:59(reshape)
    30670    0.043    0.000    0.059    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/gast/gast.py:15(create_node)
   241097    0.043    0.000    0.048    0.000 {method 'add' of 'set' objects}
   104994    0.042    0.000    0.159    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:411(<genexpr>)
    24672    0.042    0.000    0.419    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:3130(equal)
    23360    0.042    0.000    0.049    0.000 /Users/marvin/FML2020/fml-project/environment.py:183(evaluate_explosions)
   464784    0.042    0.000    0.042    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/inspect.py:2547(annotation)
    22263    0.042    0.000    0.776    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/backend/numpy/_utils.py:131(<lambda>)
    21034    0.042    0.000    0.416    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:1107(strided_slice)
    22263    0.041    0.000    1.895    0.000 <decorator-gen-96>:1(reduce_prod)
    63626    0.041    0.000    0.108    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/collections/__init__.py:400(_make)
    12060    0.041    0.000    0.306    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/math_ops.py:1891(_ReductionDims)
    49214    0.041    0.000    0.421    0.000 <__array_function__ internals>:2(sum)
    32317    0.041    0.000    0.084    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:768(<listcomp>)
    80126    0.041    0.000    0.086    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/logging/__init__.py:1432(info)
    21074    0.041    0.000    0.110    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/tokenize.py:429(_tokenize)
   200761    0.041    0.000    0.041    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:1252(name)
    23360    0.040    0.000    0.069    0.000 /Users/marvin/FML2020/fml-project/environment.py:146(update_bombs)
    22265    0.040    0.000    0.476    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/gen_math_ops.py:799(arg_max)
    94244    0.040    0.000    0.047    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/numpy/lib/shape_base.py:600(<listcomp>)
    97200    0.040    0.000    0.056    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/threading.py:249(__exit__)
    20094    0.040    0.000    0.395    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/critical_section_ops.py:53(_identity)
    99387    0.040    0.000    0.066    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/threading.py:261(_is_owned)
    89084    0.039    0.000    0.175    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:304(<listcomp>)
   114864    0.039    0.000    0.073    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:753(<genexpr>)
   178148    0.039    0.000    0.039    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/training/tracking/data_structures.py:64(__init__)
   124104    0.039    0.000    0.039    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsStopped}
    89084    0.039    0.000    0.051    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:2572(<listcomp>)
    23360    0.039    0.000    2.328    0.000 /Users/marvin/FML2020/fml-project/agents.py:121(process_game_events)
    23360    0.039    0.000   12.795    0.001 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/environments/tf_py_environment.py:317(_isolated_step_py)
281934/278767    0.039    0.000    0.040    0.000 {built-in method builtins.hash}
    12047    0.038    0.000    0.702    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/drivers/dynamic_step_driver.py:100(loop_cond)
    20460    0.038    0.000    0.068    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:851(device)
    20996    0.038    0.000    0.081    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tf_agents/utils/nest_utils.py:424(<listcomp>)
